,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_lr,param_max_epochs,param_module__num_layers,param_optimizer,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
657,17.44129810333252,0.15043669730175105,0.006214714050292969,0.0007530453383629638,60,0.1,500,4,<class 'torch.optim.sgd.SGD'>,"{'batch_size': 60, 'lr': 0.1, 'max_epochs': 500, 'module__num_layers': 4, 'optimizer': <class 'torch.optim.sgd.SGD'>}",0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.0,652
717,17.72055869102478,0.1768054356687383,0.006821298599243164,0.0010801882626210078,60,0.05,500,4,<class 'torch.optim.sgd.SGD'>,"{'batch_size': 60, 'lr': 0.05, 'max_epochs': 500, 'module__num_layers': 4, 'optimizer': <class 'torch.optim.sgd.SGD'>}",0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.0,652
663,3.6107305526733398,0.114800626146436,0.008042335510253906,0.003819881338007176,60,0.05,100,2,<class 'torch.optim.sgd.SGD'>,"{'batch_size': 60, 'lr': 0.05, 'max_epochs': 100, 'module__num_layers': 2, 'optimizer': <class 'torch.optim.sgd.SGD'>}",0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.0,652
659,22.694179153442384,0.20293168865046748,0.005914878845214844,0.00037509807598921176,60,0.1,500,4,<class 'torch.optim.adadelta.Adadelta'>,"{'batch_size': 60, 'lr': 0.1, 'max_epochs': 500, 'module__num_layers': 4, 'optimizer': <class 'torch.optim.adadelta.Adadelta'>}",0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.0,652
662,5.676957321166992,0.0791731125903845,0.006922340393066407,0.00287883875004067,60,0.05,100,1,<class 'torch.optim.adadelta.Adadelta'>,"{'batch_size': 60, 'lr': 0.05, 'max_epochs': 100, 'module__num_layers': 1, 'optimizer': <class 'torch.optim.adadelta.Adadelta'>}",0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.0,652
665,5.438760900497437,0.1959465588383239,0.007103586196899414,0.001534813017784732,60,0.05,100,2,<class 'torch.optim.adadelta.Adadelta'>,"{'batch_size': 60, 'lr': 0.05, 'max_epochs': 100, 'module__num_layers': 2, 'optimizer': <class 'torch.optim.adadelta.Adadelta'>}",0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.0,652
1178,32.778282499313356,0.1536002131345796,0.005402135848999024,0.0004894634692705476,80,0.001,400,1,<class 'torch.optim.adadelta.Adadelta'>,"{'batch_size': 80, 'lr': 0.001, 'max_epochs': 400, 'module__num_layers': 1, 'optimizer': <class 'torch.optim.adadelta.Adadelta'>}",0.6057692307692307,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6134615384615385,0.0038461538461538767,1432
257,32.429709815979,0.37873918229098347,0.014642047882080077,0.010723386539141469,20,0.001,200,2,<class 'torch.optim.adadelta.Adadelta'>,"{'batch_size': 20, 'lr': 0.001, 'max_epochs': 200, 'module__num_layers': 2, 'optimizer': <class 'torch.optim.adadelta.Adadelta'>}",0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.5961538461538461,0.6115384615384616,0.007692307692307709,1433
542,6.375715065002441,0.059435790695870475,0.005800485610961914,0.00040102084383165904,40,0.001,100,1,<class 'torch.optim.adadelta.Adadelta'>,"{'batch_size': 40, 'lr': 0.001, 'max_epochs': 100, 'module__num_layers': 1, 'optimizer': <class 'torch.optim.adadelta.Adadelta'>}",0.6153846153846154,0.6153846153846154,0.5769230769230769,0.6153846153846154,0.6153846153846154,0.6076923076923078,0.015384615384615418,1434
1181,30.99253115653992,6.32370257084331,0.008602523803710937,0.006214925002117415,80,0.001,400,2,<class 'torch.optim.adadelta.Adadelta'>,"{'batch_size': 80, 'lr': 0.001, 'max_epochs': 400, 'module__num_layers': 2, 'optimizer': <class 'torch.optim.adadelta.Adadelta'>}",0.6153846153846154,0.6153846153846154,0.38461538461538464,0.6153846153846154,0.6153846153846154,0.5692307692307692,0.09230769230769231,1435
1475,21.250136804580688,0.044881441105477336,0.006005144119262696,0.0005435387599685459,100,0.001,300,4,<class 'torch.optim.adadelta.Adadelta'>,"{'batch_size': 100, 'lr': 0.001, 'max_epochs': 300, 'module__num_layers': 4, 'optimizer': <class 'torch.optim.adadelta.Adadelta'>}",0.6153846153846154,0.6153846153846154,0.6153846153846154,0.38461538461538464,0.6153846153846154,0.5692307692307692,0.09230769230769231,1435
1160,13.250439310073853,0.07455658323828142,0.0062043190002441405,0.0009825619333690288,80,0.001,200,3,<class 'torch.optim.adadelta.Adadelta'>,"{'batch_size': 80, 'lr': 0.001, 'max_epochs': 200, 'module__num_layers': 3, 'optimizer': <class 'torch.optim.adadelta.Adadelta'>}",0.6153846153846154,0.38461538461538464,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.5692307692307692,0.09230769230769233,1435
878,35.37898764610291,0.11674513890800697,0.005000019073486328,1.7429034121033731e-06,60,0.001,400,1,<class 'torch.optim.adadelta.Adadelta'>,"{'batch_size': 60, 'lr': 0.001, 'max_epochs': 400, 'module__num_layers': 1, 'optimizer': <class 'torch.optim.adadelta.Adadelta'>}",0.6153846153846154,0.6153846153846154,0.38461538461538464,0.6153846153846154,0.6153846153846154,0.5692307692307692,0.09230769230769231,1435
1487,28.015861177444457,8.177451907943183,0.0055027008056640625,0.00044674888366133184,100,0.001,400,4,<class 'torch.optim.adadelta.Adadelta'>,"{'batch_size': 100, 'lr': 0.001, 'max_epochs': 400, 'module__num_layers': 4, 'optimizer': <class 'torch.optim.adadelta.Adadelta'>}",0.6153846153846154,0.6153846153846154,0.38461538461538464,0.6153846153846154,0.6153846153846154,0.5692307692307692,0.09230769230769231,1435
1448,4.943718433380127,0.05302117864556033,0.005399322509765625,0.0004899016145085973,100,0.001,100,3,<class 'torch.optim.adadelta.Adadelta'>,"{'batch_size': 100, 'lr': 0.001, 'max_epochs': 100, 'module__num_layers': 3, 'optimizer': <class 'torch.optim.adadelta.Adadelta'>}",0.6153846153846154,0.6153846153846154,0.38461538461538464,0.6153846153846154,0.6153846153846154,0.5692307692307692,0.09230769230769231,1435
1457,11.13744854927063,0.082241301605816,0.005600118637084961,0.0004902910197903861,100,0.001,200,2,<class 'torch.optim.adadelta.Adadelta'>,"{'batch_size': 100, 'lr': 0.001, 'max_epochs': 200, 'module__num_layers': 2, 'optimizer': <class 'torch.optim.adadelta.Adadelta'>}",0.38461538461538464,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.5692307692307692,0.09230769230769233,1435
1184,32.344611406326294,5.202365774764276,0.005902576446533203,0.0001937561593181069,80,0.001,400,3,<class 'torch.optim.adadelta.Adadelta'>,"{'batch_size': 80, 'lr': 0.001, 'max_epochs': 400, 'module__num_layers': 3, 'optimizer': <class 'torch.optim.adadelta.Adadelta'>}",0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.38461538461538464,0.5692307692307692,0.09230769230769231,1435
1469,19.339333152770998,0.32520778986211873,0.005797815322875976,0.0007504845401136517,100,0.001,300,2,<class 'torch.optim.adadelta.Adadelta'>,"{'batch_size': 100, 'lr': 0.001, 'max_epochs': 300, 'module__num_layers': 2, 'optimizer': <class 'torch.optim.adadelta.Adadelta'>}",0.6153846153846154,0.38461538461538464,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.5692307692307692,0.09230769230769233,1435
1460,11.750879001617431,0.06526859642064832,0.006000232696533203,0.0006328622104770829,100,0.001,200,3,<class 'torch.optim.adadelta.Adadelta'>,"{'batch_size': 100, 'lr': 0.001, 'max_epochs': 200, 'module__num_layers': 3, 'optimizer': <class 'torch.optim.adadelta.Adadelta'>}",0.6153846153846154,0.6153846153846154,0.38461538461538464,0.6153846153846154,0.6153846153846154,0.5692307692307692,0.09230769230769231,1435
788,5.74001784324646,0.0791249588403524,0.005801248550415039,0.00040081821946355074,60,0.005,100,3,<class 'torch.optim.adadelta.Adadelta'>,"{'batch_size': 60, 'lr': 0.005, 'max_epochs': 100, 'module__num_layers': 3, 'optimizer': <class 'torch.optim.adadelta.Adadelta'>}",0.6153846153846154,0.6153846153846154,0.6153846153846154,0.38461538461538464,0.6153846153846154,0.5692307692307692,0.09230769230769231,1435
263,37.9519383430481,0.20521843997413258,0.009626674652099609,0.001747281006166899,20,0.001,200,4,<class 'torch.optim.adadelta.Adadelta'>,"{'batch_size': 20, 'lr': 0.001, 'max_epochs': 200, 'module__num_layers': 4, 'optimizer': <class 'torch.optim.adadelta.Adadelta'>}",0.6153846153846154,0.6153846153846154,0.38461538461538464,0.6153846153846154,0.6153846153846154,0.5692307692307692,0.09230769230769231,1435
488,8.354252052307128,0.05494401373719565,0.007116794586181641,0.0017769437563400195,40,0.005,100,3,<class 'torch.optim.adadelta.Adadelta'>,"{'batch_size': 40, 'lr': 0.005, 'max_epochs': 100, 'module__num_layers': 3, 'optimizer': <class 'torch.optim.adadelta.Adadelta'>}",0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.38461538461538464,0.5692307692307692,0.09230769230769231,1435
782,5.023946094512939,0.06745674973181057,0.005604267120361328,0.0004915420053661952,60,0.005,100,1,<class 'torch.optim.adadelta.Adadelta'>,"{'batch_size': 60, 'lr': 0.005, 'max_epochs': 100, 'module__num_layers': 1, 'optimizer': <class 'torch.optim.adadelta.Adadelta'>}",0.6153846153846154,0.6153846153846154,0.6153846153846154,0.38461538461538464,0.6153846153846154,0.5692307692307692,0.09230769230769231,1435
587,49.6423415184021,13.501900522794648,0.0063132762908935545,0.0002506113120867517,40,0.001,400,4,<class 'torch.optim.adadelta.Adadelta'>,"{'batch_size': 40, 'lr': 0.001, 'max_epochs': 400, 'module__num_layers': 4, 'optimizer': <class 'torch.optim.adadelta.Adadelta'>}",0.38461538461538464,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.5692307692307692,0.09230769230769233,1435
560,19.522911024093627,0.1861022243725043,0.006305170059204101,0.0004004919325835902,40,0.001,200,3,<class 'torch.optim.adadelta.Adadelta'>,"{'batch_size': 40, 'lr': 0.001, 'max_epochs': 200, 'module__num_layers': 3, 'optimizer': <class 'torch.optim.adadelta.Adadelta'>}",0.38461538461538464,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.5692307692307692,0.09230769230769233,1435
275,63.30493030548096,0.13677166165085572,0.008319520950317382,0.0007481753193403194,20,0.001,300,4,<class 'torch.optim.adadelta.Adadelta'>,"{'batch_size': 20, 'lr': 0.001, 'max_epochs': 300, 'module__num_layers': 4, 'optimizer': <class 'torch.optim.adadelta.Adadelta'>}",0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.38461538461538464,0.5692307692307692,0.09230769230769231,1435
1493,41.58311500549316,0.10123355415845,0.005405616760253906,0.00048608950172501824,100,0.001,500,2,<class 'torch.optim.adadelta.Adadelta'>,"{'batch_size': 100, 'lr': 0.001, 'max_epochs': 500, 'module__num_layers': 2, 'optimizer': <class 'torch.optim.adadelta.Adadelta'>}",0.38461538461538464,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.5692307692307692,0.09230769230769233,1435
857,13.42328429222107,0.09801178327728889,0.005400276184082032,0.0004901934829424045,60,0.001,200,2,<class 'torch.optim.adadelta.Adadelta'>,"{'batch_size': 60, 'lr': 0.001, 'max_epochs': 200, 'module__num_layers': 2, 'optimizer': <class 'torch.optim.adadelta.Adadelta'>}",0.6153846153846154,0.6153846153846154,0.6153846153846154,0.38461538461538464,0.6153846153846154,0.5692307692307692,0.09230769230769231,1435
1148,5.454845142364502,0.03249959056489641,0.005903482437133789,0.0013612093387973716,80,0.001,100,3,<class 'torch.optim.adadelta.Adadelta'>,"{'batch_size': 80, 'lr': 0.001, 'max_epochs': 100, 'module__num_layers': 3, 'optimizer': <class 'torch.optim.adadelta.Adadelta'>}",0.6153846153846154,0.6153846153846154,0.6153846153846154,0.38461538461538464,0.6153846153846154,0.5692307692307692,0.09230769230769231,1435
1199,50.023337602615356,2.499525643507859,0.006000804901123047,0.0006319592207894595,80,0.001,500,4,<class 'torch.optim.adadelta.Adadelta'>,"{'batch_size': 80, 'lr': 0.001, 'max_epochs': 500, 'module__num_layers': 4, 'optimizer': <class 'torch.optim.adadelta.Adadelta'>}",0.6153846153846154,0.38461538461538464,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.5692307692307692,0.09230769230769233,1435
272,59.86534442901611,0.5193630866984411,0.009142875671386719,0.001030121820535119,20,0.001,300,3,<class 'torch.optim.adadelta.Adadelta'>,"{'batch_size': 20, 'lr': 0.001, 'max_epochs': 300, 'module__num_layers': 3, 'optimizer': <class 'torch.optim.adadelta.Adadelta'>}",0.38461538461538464,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.5692307692307692,0.09230769230769233,1435
281,89.4038697719574,0.5412177242640315,0.01116800308227539,0.004518102028841138,20,0.001,400,2,<class 'torch.optim.adadelta.Adadelta'>,"{'batch_size': 20, 'lr': 0.001, 'max_epochs': 400, 'module__num_layers': 2, 'optimizer': <class 'torch.optim.adadelta.Adadelta'>}",0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.38461538461538464,0.5692307692307692,0.09230769230769231,1435
1025,4.705806589126587,0.5247465653499115,0.005200099945068359,0.0007487874633761483,80,0.01,100,2,<class 'torch.optim.adadelta.Adadelta'>,"{'batch_size': 80, 'lr': 0.01, 'max_epochs': 100, 'module__num_layers': 2, 'optimizer': <class 'torch.optim.adadelta.Adadelta'>}",0.6153846153846154,0.6153846153846154,0.38461538461538464,0.6153846153846154,0.6153846153846154,0.5692307692307692,0.09230769230769231,1435
